device,precision,recall,f1
Amazon Echo,1.0,0.9961977186311787,0.9980952380952381
Android Phone 2,0.6896551724137931,1.0,0.8163265306122449
Belkin Wemo switch,0.6976744186046512,0.8653846153846154,0.7725321888412017
Belkin wemo motion sensor,0.8368421052631579,0.7035398230088495,0.7644230769230769
Dropcam,0.9989423585404548,1.0,0.9994708994708995
HP Printer,0.9726775956284153,0.9128205128205128,0.9417989417989417
Laptop,0.9,0.7941176470588235,0.84375
Netatmo Welcome,1.0,0.9982486865148862,0.9991235758106923
Netatmo weather station,0.99,1.0,0.9949748743718593
PIX-STAR Photo-frame,0.7922077922077922,0.9838709677419355,0.8776978417266187
Samsung Galaxy Tab,0.9545454545454546,0.75,0.84
Samsung SmartCam,1.0,0.9967845659163987,0.998389694041868
Smart Things,0.9975124378109452,1.0,0.9987546699875467
TP-Link Day Night Cloud camera,1.0,0.9805825242718447,0.9901960784313726
TP-Link Smart plug,0.8148148148148148,0.9565217391304348,0.88
TPLink Router Bridge LAN,1.0,1.0,1.0
Triby Speaker,0.9705882352941176,1.0,0.9850746268656716
Withings Smart Baby Monitor,1.0,0.9984567901234568,0.9992277992277993
