S,W,model,accuracy,macro_f1,weighted_f1,feature_construction_time,train_time,inference_time_total,inference_time_per_sample
5,10,rf,0.9609069585613761,0.8745788648566369,0.9610252950099295,191.90430545806885,1.3950568000145722,0.08472819998860359,5.095820051037685e-06
5,10,xgb,0.9647561195645636,0.8756495121514877,0.9647218840678039,191.75213289260864,3.970313600002555,0.05054689999087714,3.0400493168266756e-06
5,30,rf,0.9735370181030853,0.903339165073874,0.9732123980192343,214.5399079322815,1.3275225999823306,0.07369360001757741,4.432164552690047e-06
5,30,xgb,0.9726348709929633,0.8997365983132346,0.9725547053331459,215.16230654716492,3.606254100013757,0.04296070002601482,2.583791425152753e-06
5,60,rf,0.9775666085282974,0.9122719534881747,0.9775590548866274,220.28152203559875,1.428343399980804,0.07375310000497848,4.435743068802458e-06
5,60,xgb,0.9803933361400132,0.9280895718112292,0.9804774182370716,221.14815163612366,3.2184720000077505,0.0430441000207793,2.5888073627701506e-06
10,10,rf,0.963601067702014,0.8793002572777789,0.96352605169181,98.30799746513367,0.6602269999857526,0.03954129997873679,4.7975370030013086e-06
10,10,xgb,0.9679689395777724,0.8987382681342839,0.9680004735685962,98.59222865104675,2.5215700999833643,0.039940200018463656,4.845935454800249e-06
10,30,rf,0.9701528755156515,0.8955663112570633,0.9696749181674501,110.77588319778442,0.6945976999995764,0.050815299997339025,6.165408881016625e-06
10,30,xgb,0.9740354282941034,0.9154631008333534,0.9740558987913642,110.27491998672485,2.2287547000159975,0.02917430002707988,3.5397112384226983e-06
10,60,rf,0.9764620237806357,0.9095703491544977,0.9763540810241962,113.70847415924072,0.6735272000078112,0.05121189999044873,6.213528268678564e-06
10,60,xgb,0.9810725552050473,0.9277686686780573,0.9811752232443166,113.34699249267578,1.9335991000116337,0.025946300011128187,3.1480587249609544e-06
20,10,rf,0.9593323930418429,0.8338874170200081,0.958825425410233,51.22639489173889,0.3363299999909941,0.030548600014299154,7.181147158979585e-06
20,10,xgb,0.9588622472966619,0.8400276870691238,0.9586166813349052,50.829960107803345,1.499766000022646,0.018530799978179857,4.35608838227077e-06
20,30,rf,0.9689703808180536,0.8712771161903518,0.9685779429645187,56.40836524963379,0.33879380000871606,0.02962929999921471,6.9650446636611915e-06
20,30,xgb,0.9703808180535967,0.885324394675948,0.96967687502209,56.337337493896484,1.2172190000128467,0.013854800025001168,3.2568876410439983e-06
20,60,rf,0.9750822755054067,0.8943294884093869,0.9749017880721292,57.81845688819885,0.3805564999929629,0.02915640000719577,6.8538787040892734e-06
20,60,xgb,0.9739069111424542,0.8973071156900969,0.9734876121996014,58.100435972213745,1.0577789999952074,0.012667400005739182,2.9777621076020646e-06
