feature,importance
pkt_delta_t,0.0923318940960266
pkt_tcp_window,0.05680726543853088
pkt_ip_ttl,0.0416523126292102
pkt_dst_port,0.040900552816749015
pkt_src_port,0.040786190942274834
pkt_payload_entropy,0.039231427807129945
pkt_ip_len,0.03704730974199862
pkt_packet_len,0.03223123073801845
hist_packet_len_max,0.02883908039673396
hist_https_port_ratio,0.027518589692670868
pkt_payload_len,0.026999202335078715
hist_udp_ratio,0.02458935982362679
hist_packet_len_min,0.022811420028657343
hist_payload_len_max,0.022775878966454943
hist_udp_count,0.022253358979746767
hist_well_known_dst_port_ratio,0.018519042425554508
pkt_udp_len,0.017920239920826354
pkt_tcp_dataofs,0.01779429396245473
hist_payload_entropy_mean,0.016873180443857286
hist_packet_len_median,0.016753539363198816
hist_total_payload_bytes,0.016224251138480392
hist_dst_port_unique_count,0.016175010359535055
hist_window_ratio,0.0151704143975127
hist_tcp_count,0.014869281432658952
pkt_ip_flags,0.013712144203211082
hist_duration_actual,0.013501933067356588
hist_tcp_ratio,0.013213773990126293
pkt_ip_df,0.013031113468744117
hist_ack_count,0.01208710915463215
hist_unique_peer_ip_count,0.011956835583209197
hist_payload_len_mean,0.011440581951552991
hist_iat_max,0.011090338445786187
hist_packet_len_mean,0.010511090053952517
hist_total_bytes,0.010134154624058428
hist_src_port_unique_count,0.009137892263758657
pkt_ip_proto,0.009032900235464526
pkt_tcp_ack,0.008259255720986777
hist_psh_count,0.007979023924989857
hist_payload_len_std,0.007919911061351464
hist_packet_count_actual,0.007813478857513344
hist_packet_len_std,0.0072402418936200075
pkt_icmp_type,0.007107435133504716
hist_pkt_count,0.006908823932396806
hist_payload_entropy_std,0.0066456942666964156
hist_unique_packet_len_count,0.006488519854134481
byte_rate,0.006354104186219718
hist_iat_mean,0.00556582880083702
hist_outbound_count,0.004966696211806145
hist_max_burst_bytes,0.004622939920674825
hist_unique_protocol_count,0.0046183083689959655
hist_iat_min,0.004550785864572624
hist_complete_flag,0.004470211918171568
packet_rate,0.0043560564430396844
hist_iat_std,0.004149503788782789
pkt_tcp_psh,0.003995976811920522
pkt_ip_ihl,0.0038867091184805547
pkt_has_payload,0.0034019880935852974
pkt_ip_tos,0.0029497870613071713
hist_mean_burst_bytes,0.0028715101616716503
hist_payload_len_min,0.002688482899939761
hist_icmp_count,0.0026690288487274815
pkt_ip_version,0.002550676921681845
pkt_eth_type,0.0025412043764912228
hist_max_burst_packet_count,0.0024680283898804193
hist_burst_byte_ratio,0.0016316909261980895
hist_mean_burst_duration,0.001555663403943201
hist_syn_count,0.0013006524513040022
hist_fin_count,0.0012862383967136822
pkt_tcp_syn,0.0012469006795203658
hist_burst_rate,0.0011621331262189683
hist_mean_burst_packet_count,0.0010498564482655404
hist_max_burst_duration,0.0008657412026901656
hist_burst_packet_ratio,0.0007389432249939613
hist_std_burst_bytes,0.0005338083637323523
hist_std_inter_burst_gap,0.0005115465621166021
hist_burst_count,0.0004973704916684502
hist_outbound_ratio,0.00037515870915100994
hist_std_burst_packet_count,0.0003410374616500177
hist_max_inter_burst_gap,0.00027125247315755815
hist_std_burst_duration,0.0002483672943921949
hist_mean_inter_burst_gap,0.00019138700064911455
hist_rst_count,0.00018629743837003042
pkt_tcp_fin,3.50468080264946e-05
pkt_tcp_rst,3.44006523614972e-06
pkt_icmp_code,3.0597211824549034e-06
pkt_tcp_urg,0.0
hist_inbound_count,0.0
pkt_direction,0.0
