W,S,model,accuracy,macro_f1,weighted_f1,feature_construction_time,train_time,inference_time_total,inference_time_per_sample
60,60,rf,0.9706435829883328,0.9449489566701593,0.9703146660133805,40.306798219680786,0.2627009999996517,0.028196700004627928,1.0612231842163315e-05
60,60,xgb,0.9706435829883328,0.9304728919033981,0.9705408135889917,41.23263096809387,0.8728151999821421,0.007742299989331514,2.913925475849271e-06
300,300,rf,0.9756410256410256,0.9531979389574327,0.9730978679980627,14.24424958229065,0.1454983000003267,0.02772230000118725,3.554141025793237e-05
300,300,xgb,0.9782051282051282,0.9539823638976694,0.9772637511711921,14.363203763961792,0.4502616000245325,0.003110799996647984,3.9882051239076714e-06
900,900,rf,0.9466666666666667,0.9489515020701632,0.937956373691668,10.078121185302734,0.12679099998786114,0.02898289999575354,9.660966665251181e-05
900,900,xgb,0.94,0.8697746017598958,0.9305408602835074,8.51922082901001,0.28676429999177344,0.0017663000035099685,5.887666678366562e-06
