S,W,model,accuracy,macro_f1,weighted_f1,feature_construction_time,train_time,inference_time_total,inference_time_per_sample
5,10,rf,0.929670609182246,0.904995585095194,0.9284111284384852,319.54139161109924,2.5275363999971887,0.21876449999399483,3.974573499645625e-06
5,10,xgb,0.9175705383259751,0.8733286774224478,0.9183751106066861,319.45750641822815,14.636391300009564,0.17395529999339487,3.160467651267144e-06
5,30,rf,0.9435330026707364,0.9084768481974764,0.9427276216484108,441.74478244781494,3.168604899998172,0.19727370000327937,3.584122744922501e-06
5,30,xgb,0.8919532711978343,0.8642698741717769,0.8910829782192691,453.60286021232605,13.989572999998927,0.15703580000263173,2.8530695300345514e-06
5,60,rf,0.9512726876328556,0.9153701656774066,0.951615694817032,523.8979592323303,3.2209898000000976,0.19708800000080373,3.580748896291923e-06
5,60,xgb,0.9021275049508548,0.8783264371461811,0.9003870614733737,524.9118962287903,14.608973900001729,0.13832839998940472,2.5131883503098546e-06
10,10,rf,0.9301133885739207,0.9075307070425287,0.9286752777757971,164.03911089897156,1.1600907999963965,0.10707039998669643,3.8912051165393385e-06
10,10,xgb,0.9141953772350633,0.8779328067605887,0.9135465930515922,164.5288143157959,8.155992400003015,0.09729780000634491,3.5360444834403587e-06
10,30,rf,0.9435601104811746,0.9069011059060941,0.9428292046979797,229.1967170238495,1.3834664999885717,0.09625960000266787,3.498313708484804e-06
10,30,xgb,0.8609172844890246,0.844935769782839,0.8534491555129161,226.86553812026978,8.59099920000881,0.08924439999100287,3.2433638606993336e-06
10,60,rf,0.9467945922372438,0.9079834887307597,0.9483209198619139,265.06582951545715,1.6394249000004493,0.09703360000276007,3.5264427970184644e-06
10,60,xgb,0.9058002616659399,0.8776882692968828,0.9046550084949475,266.00971937179565,7.393786999993608,0.07986309999250807,2.9024240439201946e-06
20,10,rf,0.9283792627063187,0.9076596539860804,0.927389695759757,84.37842798233032,0.5485092000017175,0.07376759999897331,5.363746091687146e-06
20,10,xgb,0.9104922562350033,0.8871870296362647,0.9100798655885474,84.44950103759766,4.326847000003909,0.05556870000145864,4.040478441173463e-06
20,30,rf,0.942630698756635,0.9055006161462388,0.9418902344785908,116.57380032539368,0.7788414999959059,0.06242760000168346,4.539198720401618e-06
20,30,xgb,0.9232167527085,0.9115091943565523,0.9221342753578208,116.55646872520447,3.9977441000082763,0.04664119999506511,3.3913473420391995e-06
20,60,rf,0.9465571148113139,0.9081561801670743,0.9484991851013439,133.5877923965454,0.899875900009647,0.06272639999224339,4.560924888551108e-06
20,60,xgb,0.8979858939867665,0.8704712673003783,0.8961087856269452,132.69660830497742,3.785858199989889,0.039592299988726154,2.8788118947666805e-06
