H,L,model,group,accuracy,macro_f1,weighted_f1,feature_construction_time,train_time,inference_time_total,inference_time_per_sample
10,10,rf,C,0.9673805350201966,0.8913429367527892,0.9634461225049875,177.09155416488647,1.4752656999917235,0.06274970000959001,4.7823870139158615e-06
10,10,xgb,C,0.9728679216523131,0.9108229838843737,0.9712401261514718,176.948956489563,3.7951784000033513,0.058192199998302385,4.43504306061294e-06
10,10,lstm,D,0.9889490130325432,0.9493268204386978,0.9888659365426923,61.82965612411499,193.9208219051361,0.5139730999944732,3.9171793308015634e-05
10,10,gru,D,0.9891776541422148,0.9571033227756176,0.9890619435136891,69.39034605026245,301.4122462272644,0.8977087000093888,6.841770444397446e-05
20,20,rf,C,0.9717729630759842,0.8875257938292044,0.9683129988975486,90.81313967704773,0.7974570000078529,0.04217980001703836,6.435733905559713e-06
20,20,xgb,C,0.9763503204150137,0.901188715606166,0.9752693814546065,88.14268350601196,2.007930200023111,0.02462149999337271,3.756713456419394e-06
20,20,lstm,D,0.9934391211473909,0.9590093988573132,0.9932974026013289,38.76515483856201,205.55713558197021,0.6992791999946348,0.00010669502593753964
20,20,gru,D,0.9931339639914556,0.9513707602786607,0.9931994812035599,37.42973756790161,377.39172649383545,0.8479107999883126,0.00012937302410563208
50,50,rf,C,0.9759082217973232,0.8960248413290225,0.9738964986443963,35.456831216812134,0.35001829999964684,0.040128699998604134,1.5345583173462384e-05
50,50,xgb,C,0.9789674952198852,0.9118035457475516,0.9785425585671406,34.763474225997925,0.9391981000080705,0.009272100025555119,3.545736147439816e-06
50,50,lstm,D,0.9957934990439771,0.9658882443353662,0.9959146550083913,16.985387325286865,147.97602152824402,0.22981379998964258,8.788290630579067e-05
50,50,gru,D,0.9931166347992352,0.9631553674004282,0.9930062183411936,17.322985887527466,300.1372399330139,0.6641563999874052,0.00025397950286325244
