feature,importance
tcp_window,0.16456909557192784
src_port,0.13485511810087053
dst_port,0.13237215367618244
delta_t,0.09863255913299555
ip_ttl,0.0907003539543526
packet_len,0.05811868807420902
payload_entropy,0.05790556530194121
ip_len,0.0556547308229493
tcp_dataofs,0.040381059381355326
payload_len,0.03787896113124028
udp_len,0.032125407724360955
ip_flags,0.022480518631652322
ip_df,0.018748591999487176
tcp_ack,0.010097831780651578
ip_proto,0.009746793350511243
tcp_psh,0.006226199761969315
ip_ihl,0.006077199491207273
has_payload,0.005263090832114425
ip_version,0.004327812010556734
eth_type,0.0036332949695302057
tcp_syn,0.0028923253072324117
icmp_type,0.0025130934970944555
tcp_fin,0.0023076292452380897
ip_tos,0.00206206326055717
tcp_rst,0.00039967718446515347
icmp_code,3.0185805347144783e-05
tcp_urg,0.0
direction,0.0
