feature,importance
packet_len_min,0.05731382194963771
well_known_dst_port_ratio,0.05228424087517561
payload_entropy_mean,0.051207258749799534
icmp_count,0.047447808811847146
https_port_ratio,0.043353657769750094
iat_max,0.03804228295509817
udp_count,0.03550061531122352
payload_len_mean,0.03395185062429056
unique_peer_ip_count,0.031170689956406688
tcp_count,0.029939050621207185
packet_len_median,0.02940882597595481
ack_count,0.029174567392945938
packet_len_max,0.028826781434906242
udp_ratio,0.027993209037861268
packet_len_std,0.025945508715620437
packet_len_mean,0.025935094593465064
payload_entropy_std,0.025205738858553924
tcp_ratio,0.025145984108072065
payload_len_max,0.024264402140935882
payload_len_std,0.024186506146835474
total_bytes,0.02275472552523183
burst_byte_ratio,0.02088073472455822
total_payload_bytes,0.02076458311028657
iat_std,0.020730108549922625
dst_port_unique_count,0.020381563382488227
psh_count,0.017609375937985793
outbound_count,0.01493876539328079
src_port_unique_count,0.01487700736602239
burst_packet_ratio,0.012760230029659739
iat_min,0.011662792131068658
mean_burst_bytes,0.011026062573253422
unique_packet_len_count,0.010999348677313383
unique_protocol_count,0.010804427065328815
pkt_count,0.010228517079382179
burst_rate,0.010103727364900457
burst_count,0.009246408704129853
iat_mean,0.007629323082911215
max_burst_bytes,0.007210719740128559
std_burst_bytes,0.007031652694836403
syn_count,0.0067741034191806234
mean_burst_duration,0.006348851113926871
std_inter_burst_gap,0.005598003921998366
fin_count,0.005068303646863581
max_burst_packet_count,0.004858755413233529
std_burst_duration,0.004516257773210686
std_burst_packet_count,0.0038934612047299573
max_inter_burst_gap,0.003762979105329848
mean_burst_packet_count,0.003538751877608273
max_burst_duration,0.0034903348169964183
mean_inter_burst_gap,0.0030651432521171286
rst_count,0.0006115454387880655
payload_len_min,0.000535539853739956
inbound_count,0.0
outbound_ratio,0.0
